"orderNumber","occurrenceID","family","scientificName","identificationQualifier","genus","subgenus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","kingdom","rankmarker","taxonID","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
1,"WL:SNAIL:ES:OCC:00000","Megalomastomatidae","Obscurella bicostulata",,"Obscurella",,"bicostulata",,"(Gofas, 1989)",2004-08-18,2004,"HumanObservation","adult",2,"exact count",,,,"Fuente Dé","Camaleño","Cantabria","Spain","ES","anonymous","Ward Langeraert",,"empty shell | on shadow area of big rock at 1100 mts","Animalia","sp.","checklist_snails_grancanaria:taxon:ecaa269d66a3671ac40b36fbc0070227","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
2,"WL:SNAIL:ES:OCC:00001","Megalomastomatidae","Obscurella asturica",,"Obscurella",,"asturica",,"Raven, 1990",2013-06-24,2013,"HumanObservation","adult",4,"exact count",,,,"Bajes",,"Cantabria","Spain","ES","anonymous","anonymous",,"empty shell | cannot find this location","Animalia","sp.","checklist_snails_grancanaria:taxon:7f2927666c1f644a9bffc8924118bca6","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
3,"WL:SNAIL:ES:OCC:00002","Megalomastomatidae","Obscurella hidalgoi",,"Obscurella",,"hidalgoi",,"(Crosse, 1864)",2013-06-27,2013,"HumanObservation","adult",3,"exact count",,,,"Las Selas (Castilla y León)",,,"Spain","ES","anonymous","anonymous",,"empty shell | on rocks; cannot find this location (Bejes bij Tresviso?)","Animalia","sp.","checklist_snails_grancanaria:taxon:a2e5d27f8221c68dc0942d1992da5677","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
4,"WL:SNAIL:ES:OCC:00003","Megalomastomatidae","Obscurella hidalgoi",,"Obscurella",,"hidalgoi",,"(Crosse, 1864)",2013-06-27,2013,"HumanObservation","adult",1,"exact count",,,,"North of Covadonga","Cangas de Onís","Asturias","Spain","ES","anonymous","Ward Langeraert",,"empty shell | at 1000 mts altitude on limestone rocks","Animalia","sp.","checklist_snails_grancanaria:taxon:a2e5d27f8221c68dc0942d1992da5677","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
5,"WL:SNAIL:ES:OCC:00004","Clausiliidae","Clausilia bidentata",,"Clausilia",,"bidentata",,"(Strøm, 1765)",2013-07-31,2013,"HumanObservation","adult",3,"exact count",43.418889,-2.949444,100,"Cliffs northwest of Gorliz","Gorliz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:201f93f48b48a2210bde594cb6f0584e","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
6,"WL:SNAIL:ES:OCC:00005","Elonidae","Elona quimperiana",,"Elona",,"quimperiana",,"(Blainville, 1821)",2013-07-31,2013,"HumanObservation","adult",1,"exact count",43.418889,-2.949444,25,"Cliffs northwest of Gorliz","Gorliz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"dead","Animalia","sp.","checklist_snails_grancanaria:taxon:50f45f97e99e26ef773bccfa7c45c46b","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
7,"WL:SNAIL:ES:OCC:00006","Geomitridae","Helicella itala itala",,"Helicella",,"itala","itala","(Linnaeus, 1758)",2013-07-31,2013,"HumanObservation","adult",6,"exact count",43.418889,-2.949444,100,"Cliffs northwest of Gorliz","Gorliz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","infrasp.","checklist_snails_grancanaria:taxon:7054ec02c055c64d690662ab4bc47d34","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","infraspecificname","ICZN"
8,"WL:SNAIL:ES:OCC:00007","Geomitridae","Helicella itala itala",,"Helicella",,"itala","itala","(Linnaeus, 1758)",2013-07-31,2013,"HumanObservation","juvenile",1,"exact count",43.418889,-2.949444,100,"Cliffs northwest of Gorliz","Gorliz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","infrasp.","checklist_snails_grancanaria:taxon:7054ec02c055c64d690662ab4bc47d34","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","infraspecificname","ICZN"
9,"WL:SNAIL:ES:OCC:00008","Megalomastomatidae","Obscurella bicostulata",,"Obscurella",,"bicostulata",,"(Gofas, 1989)",2013-07-31,2013,"HumanObservation","adult",1,"exact count",43.418889,-2.949444,25,"Cliffs northwest of Gorliz","Gorliz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"alive","Animalia","sp.","checklist_snails_grancanaria:taxon:ecaa269d66a3671ac40b36fbc0070227","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
10,"WL:SNAIL:ES:OCC:00009","Pomatiidae","Pomatias elegans",,"Pomatias",,"elegans",,"(O. F. Müller, 1774)",2013-07-31,2013,"HumanObservation",,20,"estimate count",43.418889,-2.949444,100,"Cliffs northwest of Gorliz","Gorliz","Vizcaya","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","Animalia","sp.","checklist_snails_grancanaria:taxon:9b2be12ef6e10587cfe6b2986f3901cf","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","my_doi","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
